,Ref Amp,Ref PW,Ref Freq,Ref Dur,Active Channels,Return Channels,Session
0,0,200,50,200,15,0,215
1,0,200,50,200,15,64,215
2,0,200,50,200,15,128,215
0,0,200,50,200,15,128,216
1,0,200,50,200,15,192,216
0,0,200,50,200,15,144,217
1,0,200,50,200,15,240,217
2,0,200,50,200,96,144,217
0,0,200,50,200,112,128,218
1,0,200,50,200,176,64,218
2,0,200,50,200,208,32,218
3,0,200,50,200,240,0,218
0,0,200,50,200,15,128,219
1,0,200,50,200,15,240,219
2,1,1,0,0,15,128,219
3,300,200,50,200,15,240,219
0,0,200,50,200,15,240,220
1,500,200,50,200,15,240,220
2,1000,200,50,200,15,240,220
0,0,200,50,200,15,240,221
1,400,200,50,200,15,240,221
2,800,200,50,200,15,240,221
0,50,200,50,200,15,240,222
1,400,200,50,200,15,240,222
2,500,200,50,200,15,240,222
3,800,200,50,200,15,240,222
0,400,200,50,200,15,240,223
1,800,200,50,200,15,240,223
0,0,200,50,200,15,192,224
1,0,200,50,200,112,128,224
0,0,200,50,200,15,128,225
0,0,200,50,200,15,128,226
1,300,200,50,200,15,128,226
2,700,200,50,200,15,128,226
3,1000,200,50,200,15,128,226
0,300,200,50,200,15,240,227
1,500,200,50,200,15,240,227
0,0,200,50,200,15,240,228
1,400,50,50,200,15,240,228
2,500,50,50,200,15,240,228
3,500,200,50,200,15,240,228
0,400,50,50,200,15,240,229
1,400,150,50,200,15,240,229
2,400,250,50,200,15,240,229
0,400,50,50,200,15,240,230
1,400,150,50,200,15,240,230
2,400,250,50,200,15,240,230
0,400,250,50,200,15,240,231
1,600,50,50,200,15,240,231
0,400,50,50,200,15,192,232
0,400,50,50,200,15,48,233
1,400,150,50,200,15,48,233
0,400,50,50,200,15,192,234
1,400,50,50,200,15,240,234
0,1,1,0,0,15,240,235
1,400,50,50,200,15,240,235
2,400,100,50,200,15,240,235
3,400,150,50,200,15,240,235
0,400,100,50,200,15,240,236
1,400,125,50,200,15,240,236
2,400,150,50,200,15,240,236
0,400,50,50,200,15,64,237
1,400,100,50,200,15,64,237
2,400,150,50,200,15,64,237
0,0,0,0,0,128,8,238
0,0,0,0,0,4,64,239
0,0,0,0,0,4,64,240
0,0,0,0,0,4,64,241
0,0,0,0,0,4,64,242
0,0,0,0,0,4,64,243
0,0,0,0,0,8,128,244
0,0,0,0,0,15,128,245
0,0,0,0,0,15,64,246
0,0,0,0,0,15,32,247
0,0,0,0,0,15,32,248
0,0,0,0,0,15,16,249
0,0,0,0,0,112,128,250
0,0,0,0,0,176,64,251
1,0,0,0,0,240,8,251
2,0,0,0,0,240,15,251
0,0,0,0,0,15,240,252
0,0,0,0,0,208,32,253
0,0,0,0,0,12,192,254
0,0,0,0,0,3,48,255
1,0,0,0,0,112,128,255
0,0,0,0,0,9,144,256
0,0,0,0,0,6,96,257
0,0,0,0,0,14,224,258
0,0,0,0,0,7,112,259
0,0,0,0,0,15,128,260
0,0,0,0,0,15,64,261
0,0,0,0,0,8,128,262
1,0,0,0,0,15,128,262
0,0,0,0,0,15,128,263
0,0,0,0,0,15,64,264
0,0,0,0,0,112,128,265
0,0,0,0,0,12,128,266
1,0,0,0,0,15,128,266
2,0,0,0,0,60,195,266
0,0,0,0,0,15,128,267
0,0,0,0,0,15,240,268
0,0,0,0,0,0,240,269
1,0,0,0,0,15,240,269
0,0,0,0,0,15,64,270
0,0,0,0,0,15,64,271
0,0,0,0,0,15,16,272
0,0,0,0,0,15,32,273
0,0,0,0,0,0,224,274
1,0,0,0,0,4,224,274
2,0,0,0,0,8,128,274
3,0,0,0,0,8,192,274
4,0,0,0,0,12,192,274
5,0,0,0,0,12,224,274
6,0,0,0,0,12,240,274
7,0,0,0,0,15,240,274
8,0,0,0,0,16,224,274
9,0,0,0,0,29,224,274
10,0,0,0,0,48,192,274
0,0,0,0,0,15,192,275
0,0,0,0,0,15,192,276
0,0,0,0,0,15,192,277
0,0,0,0,0,15,64,278
0,0,0,0,0,15,128,279
0,0,0,0,0,15,128,280
0,0,0,0,0,15,128,281
0,0,0,0,0,15,128,282
0,0,0,0,0,15,64,283
0,0,0,0,0,15,32,284
0,0,0,0,0,15,16,285
0,0,0,0,0,15,32,286
0,0,0,0,0,15,16,287
0,0,0,0,0,208,32,288
0,0,0,0,0,224,16,289
0,0,0,0,0,15,128,290
0,0,0,0,0,15,128,291
0,0,0,0,0,15,128,292
0,0,0,0,0,15,128,293
0,0,0,0,0,224,16,294
0,0,0,0,0,15,16,295
0,0,0,0,0,224,16,296
0,0,0,0,0,15,128,297
0,0,0,0,0,15,128,298
0,0,0,0,0,15,128,299
0,0,0,0,0,15,128,300
0,0,0,0,0,15,128,301
0,0,0,0,0,15,128,302
0,0,0,0,0,15,128,303
0,0,0,0,0,15,128,304
0,0,0,0,0,15,128,305
